epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6939,2.07375,3.03869,1.99028,0.91967,0.0342,0.21013,0.07968,1.74795,3.74674,2.06304,4.287e-05,4.287e-05,4.287e-05
2,134.746,1.92254,2.92214,1.87748,1,0.01977,0.34495,0.13599,1.69791,3.45889,1.75426,9.75543e-05,9.75543e-05,9.75543e-05
3,179.029,1.79306,2.73677,1.7336,0.87753,0.04301,0.33323,0.13366,1.78531,3.34874,1.70765,0.000149409,0.000149409,0.000149409
4,224.428,1.65528,2.83203,1.67526,0.52881,0.1527,0.3733,0.17459,1.71182,3.17248,1.75165,0.000198435,0.000198435,0.000198435
5,274.694,1.78367,2.7422,1.64791,0.5658,0.14697,0.38246,0.17843,1.75515,3.19698,1.76714,0.000244631,0.000244631,0.000244631
